codigo;nome;lote;segmento;capital_reais;antes_h1;antes_h2;antes_h3;antes_h4;antes_h5;antes_resumo;depois_h1;depois_h2;depois_h3;depois_h4;depois_h5;depois_resumo;mudou;motivo;id
"9W0-FQI";"SIFAO METALICO DE 1.1/4"" X 1.1/2""";"1";"capital_preso";"290.79";"SIFAO METALICO DE 1.1/4"" X 1.1/2""";"";"";"";"";"SIFAO METALICO DE 1.1/4"" X 1.1/2""";"SIFAO METALICO 1.1/4"" X 1.1/2""";"1/4";"";"";"";"SIFAO METALICO 1.1/4"" X 1.1/2"" › 1/4";"SIM";"Nome curto + apresentação";"69bd5d09de9614ca42174f94"
"K9O-WKV";"REGULADOR P/GAS COM MANGUEIRA";"1";"com_giro";"276.44";"REGULADOR P/GAS COM MANGUEIRA";"";"";"";"";"REGULADOR P/GAS COM MANGUEIRA";"REGULADOR P/GAS MANGUEIRA";"AVULSO";"";"";"";"REGULADOR P/GAS MANGUEIRA › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5cef87854e4bffcb2830"
"0E4-4JI";"TORNEIRA BICA MÓVEL MESA SHB ABS 1/4 DE VOLTA DN15";"1";"capital_preso";"276.2";"TORNEIRA BICA MÓVEL MESA SHB ABS 1/4 DE VOLTA DN15";"";"";"";"";"TORNEIRA BICA MÓVEL MESA SHB ABS 1/4 DE VOLTA DN15";"TORNEIRA DE MESA";"DN15 BICA MÓVEL";"";"";"";"TORNEIRA DE MESA › DN15 BICA MÓVEL";"SIM";"Torneira por uso";"69bd64ca5195805d0dfbe47a"
"9ES-MWX";"TORNEIRA DE PAREDE PARA LAVATORIO CROMADA DN15 1178P61";"1";"capital_preso";"256.08";"TORNEIRA DE PAREDE PARA LAVATORIO CROMADA DN15";"";"";"";"1178P61";"TORNEIRA DE PAREDE PARA LAVATORIO CROMADA DN15 › 1178P61";"TORNEIRA P/ LAVATÓRIO";"DN15";"";"";"Roma";"TORNEIRA P/ LAVATÓRIO › DN15 › Roma";"SIM";"Torneira por uso";"69bd64cc60bde87a90e22185"
"02Q-PPC";"REGISTRO GAVETA LATAO 3/4"" (*)";"1";"capital_preso";"252.67";"REGISTRO GAVETA LATAO 3/4"" (*)";"";"";"";"";"REGISTRO GAVETA LATAO 3/4"" (*)";"REGISTRO";"3/4";"";"";"";"REGISTRO › 3/4";"SIM";"Registro + medida";"69bd5cea0e06c433b7d11eb1"
"95B-U2J";"MASSA ACRILICA (BD 20 KG) HIPERCOR";"1";"com_giro";"251.82";"MASSA ACRILICA (BD 20 KG) HIPERCOR";"";"";"";"";"MASSA ACRILICA (BD 20 KG) HIPERCOR";"MASSA ACRÍLICA";"20 KG";"";"";"HIPERCOR";"MASSA ACRÍLICA › 20 KG › HIPERCOR";"SIM";"Massa/argamassa: produto + apresentação";"69d51028452000718b930377"
"77V-9SN";"THINNER ANJO 5L";"1";"com_giro";"247.88";"THINNER ANJO 5L";"";"";"";"";"THINNER ANJO 5L";"THINNER";"5L";"";"";"";"THINNER › 5L";"SIM";"Tinta/verniz: produto + volume";"69bd5d2428a4ccff44690337"
"Z28-TGZ";"SPOT LED AUXILIAR PEQUENO 03W QUAD 6500K";"1";"capital_preso";"232.67";"SPOT LED AUXILIAR PEQUENO 03W QUAD 6500K";"";"";"";"";"SPOT LED AUXILIAR PEQUENO 03W QUAD 6500K";"SPOT LED";"03W 6500K";"";"";"";"SPOT LED › 03W 6500K";"SIM";"Iluminação";"69bd5d0bc5b1728a6f773fa0"
"PXF-N4V";"TORNEIRA PARA TANQUE OU MAQUINA DE LAVAR J4 DN15";"1";"capital_preso";"230.07";"TORNEIRA PARA TANQUE OU MAQUINA DE LAVAR J4 DN15";"";"";"";"";"TORNEIRA PARA TANQUE OU MAQUINA DE LAVAR J4 DN15";"TORNEIRA";"DN15";"";"";"";"TORNEIRA › DN15";"SIM";"Torneira por uso";"69bd64d137b785a845b2a053"
"C0S-3C9";"LAPIS DE CARPINTEIRO IRWIN";"1";"capital_preso";"229.9";"LAPIS DE CARPINTEIRO IRWIN";"";"";"";"";"LAPIS DE CARPINTEIRO IRWIN";"LAPIS CARPINTEIRO IRWIN";"AVULSO";"";"";"";"LAPIS CARPINTEIRO IRWIN › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5bd98ab8c7db8ce27b1b"
"3HY-WE8";"MANTA LÍQUIDA PRETA 3,6 KG QUARTZOLIT - GL";"1";"capital_preso";"224.87";"MANTA LÍQUIDA PRETA 3,6 KG QUARTZOLIT - GL";"";"";"";"";"MANTA LÍQUIDA PRETA 3,6 KG QUARTZOLIT - GL";"MANTA LÍQUIDA";"6 KG";"";"";"Quartzolit";"MANTA LÍQUIDA › 6 KG › Quartzolit";"SIM";"Massa/argamassa: produto + apresentação";"69bd5bf95c42c2f22b8f364d"
"P2O-L4L";"TORNEIRA (PURIFICADOR) ACQUA DUE MESA";"1";"capital_preso";"219.32";"TORNEIRA (PURIFICADOR) ACQUA DUE MESA";"";"";"";"";"TORNEIRA (PURIFICADOR) ACQUA DUE MESA";"TORNEIRA DE MESA";"AVULSO";"";"";"";"TORNEIRA DE MESA › AVULSO";"SIM";"Torneira por uso";"69bd64c67c0bdfe29e876b6b"
"ICB-42A";"RESISTENCIA 3065 ACQUA ULTRA 127/5500";"1";"capital_preso";"211.26";"RESISTENCIA 3065 ACQUA ULTRA 127/5500";"";"";"";"";"RESISTENCIA 3065 ACQUA ULTRA 127/5500";"RESISTENCIA 3065 ACQUA ULTRA 127/5500";"127/5500";"";"";"";"RESISTENCIA 3065 ACQUA ULTRA 127/5500 › 127/5500";"SIM";"Nome curto + apresentação";"69bd5cfc0d97b49ab900d6c4"
"0UA-0IH";"NIPEL ROSCAVEL 1/2";"1";"com_giro";"208.38";"NIPEL ROSCAVEL 1/2";"";"";"";"";"NIPEL ROSCAVEL 1/2";"NIPEL ROSCAVEL 1/2";"1/2";"";"";"";"NIPEL ROSCAVEL 1/2 › 1/2";"SIM";"Nome curto + apresentação";"69bd5c002141c63aac264cd5"
"5C4-IXK";"REGISTRO PRESSAO J4 DN20";"1";"capital_preso";"199.36";"REGISTRO PRESSAO J4 DN20";"";"";"";"";"REGISTRO PRESSAO J4 DN20";"REGISTRO PRESSÃO";"20";"";"";"";"REGISTRO PRESSÃO › 20";"SIM";"Registro + medida";"69bd5cedd222ae588abc84af"
"A3I-Q2G";"RESITENCIA 3065-I LOREN SHOWER ULTRA 127 V/ 5500 W";"1";"capital_preso";"196.56";"RESITENCIA 3065-I LOREN SHOWER ULTRA 127 V/ 5500 W";"";"";"";"";"RESITENCIA 3065-I LOREN SHOWER ULTRA 127 V/ 5500 W";"RESITENCIA 3065-I LOREN SHOWER ULTRA";"AVULSO";"";"";"";"RESITENCIA 3065-I LOREN SHOWER ULTRA › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5cfc9177ff17ad9e1f2e"
"HQP-C8A";"MICTORIO COM SIFAO BARI";"1";"capital_preso";"195.88";"MICTORIO COM SIFAO BARI";"";"";"";"";"MICTORIO COM SIFAO BARI";"MICTORIO SIFAO BARI";"AVULSO";"";"";"";"MICTORIO SIFAO BARI › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5bff5f9e43c4409fdf2a"
"0JH-QC6";"REGISTRO ESFERA PLASTICO 40MM SOLDAVEL - VEPS140";"1";"capital_preso";"194.13";"REGISTRO ESFERA PLASTICO 40MM SOLDAVEL - VEPS140";"";"";"";"";"REGISTRO ESFERA PLASTICO 40MM SOLDAVEL - VEPS140";"REGISTRO ESFERA";"40MM";"";"";"";"REGISTRO ESFERA › 40MM";"SIM";"Registro + medida";"69bd5ce6eb2ceb71cfd3e167"
"XDT-AZ2";"REGISTRO PRESSAO J4 DN15";"1";"capital_preso";"190.8";"REGISTRO PRESSAO J4 DN15";"";"";"";"";"REGISTRO PRESSAO J4 DN15";"REGISTRO PRESSÃO";"15";"";"";"";"REGISTRO PRESSÃO › 15";"SIM";"Registro + medida";"69bd5ced3c4709da3f3e0932"
"DSM-KP4";"TORNEIRA BICA MOVEL PARA LAVATORIO J4 DN15";"1";"capital_preso";"184.74";"TORNEIRA BICA MOVEL PARA LAVATORIO J4 DN15";"";"";"";"";"TORNEIRA BICA MOVEL PARA LAVATORIO J4 DN15";"TORNEIRA P/ LAVATÓRIO";"DN15 BICA MÓVEL";"";"";"";"TORNEIRA P/ LAVATÓRIO › DN15 BICA MÓVEL";"SIM";"Torneira por uso";"69bd64cab55914d4d78a5548"
"29C-UHG";"SELADOR P/ MADEIRA INCOLOR IQUINE - GL";"1";"capital_preso";"181.05";"SELADOR P/ MADEIRA INCOLOR IQUINE - GL";"";"";"";"";"SELADOR P/ MADEIRA INCOLOR IQUINE - GL";"TINTA SELADOR ACRÍLICO";"GL";"";"";"Iquine";"TINTA SELADOR ACRÍLICO › GL › Iquine";"SIM";"Tinta/verniz: produto + volume";"69bd5d06863236bd61cbf9b3"
"MCV-42T";"RESISTENCIA 3060A 127/5500 DUOSHOW/FUT";"1";"capital_preso";"176.5";"RESISTENCIA 3060A 127/5500 DUOSHOW/FUT";"";"";"";"";"RESISTENCIA 3060A 127/5500 DUOSHOW/FUT";"RESISTENCIA 3060A 127/5500 DUOSHOW/FUT";"127/5500";"";"";"";"RESISTENCIA 3060A 127/5500 DUOSHOW/FUT › 127/5500";"SIM";"Nome curto + apresentação";"69bd5cfb202fe4a8b0e42a47"
"G21-LEK";"CONECTOR P/HASTE ATERRAM.1/2 TAF";"1";"capital_preso";"173.8";"CONECTOR P/HASTE ATERRAM.1/2 TAF";"";"";"";"";"CONECTOR P/HASTE ATERRAM.1/2 TAF";"CONECTOR P/HASTE ATERRAM.1/2 TAF";"1/2";"";"";"";"CONECTOR P/HASTE ATERRAM.1/2 TAF › 1/2";"SIM";"Nome curto + apresentação";"69bd5b8c0b365ad7fb666d61"
"4T1-52O";"TORNEIRA (PURIFICADOR) ACQUA BELLA MESA";"1";"capital_preso";"173.13";"TORNEIRA (PURIFICADOR) ACQUA BELLA MESA";"";"";"";"";"TORNEIRA (PURIFICADOR) ACQUA BELLA MESA";"TORNEIRA DE MESA";"AVULSO";"";"";"";"TORNEIRA DE MESA › AVULSO";"SIM";"Torneira por uso";"69bd64c4d99cc1810db9ebd7"
"2AX-V8I";"TORNEIRA (PURIFICADOR) ACQUA BELLA PAREDE";"1";"capital_preso";"173.13";"TORNEIRA (PURIFICADOR) ACQUA BELLA PAREDE";"";"";"";"";"TORNEIRA (PURIFICADOR) ACQUA BELLA PAREDE";"TORNEIRA";"AVULSO";"";"";"";"TORNEIRA › AVULSO";"SIM";"Torneira por uso";"69bd64c579845daa782dc419"
"1KL-WNB";"REGISTRO ESF LATAO 2"" PASS PLENA #2(*)";"1";"capital_preso";"166.42";"REGISTRO ESF LATAO 2"" PASS PLENA #2(*)";"";"";"";"";"REGISTRO ESF LATAO 2"" PASS PLENA #2(*)";"REGISTRO";"AVULSO";"";"";"";"REGISTRO › AVULSO";"SIM";"Registro + medida";"69bd5ce362335b62a1184702"
"VU4-HEU";"REGISTRO ESFERA PLASTICO 60MM SOLDAVEL - VEPS160";"1";"capital_preso";"165.2";"REGISTRO ESFERA PLASTICO 60MM SOLDAVEL - VEPS160";"";"";"";"";"REGISTRO ESFERA PLASTICO 60MM SOLDAVEL - VEPS160";"REGISTRO ESFERA";"60MM";"";"";"";"REGISTRO ESFERA › 60MM";"SIM";"Registro + medida";"69bd5ce7744e5f211dbc82cf"
"J10-DXC";"RESISTENCIA 3055-Q 127V 5500W";"1";"capital_preso";"161.73";"RESISTENCIA 3055-Q 127V 5500W";"";"";"";"";"RESISTENCIA 3055-Q 127V 5500W";"RESISTENCIA 3055-Q 127V 5500W";"AVULSO";"";"";"";"RESISTENCIA 3055-Q 127V 5500W › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5cfb7629c31cc64b97d4"
"MNG-PX8";"SPOT LED AUXILIAR GRANDE 06W QUAD 6500K";"1";"capital_preso";"157.8";"SPOT LED AUXILIAR GRANDE 06W QUAD 6500K";"";"";"";"";"SPOT LED AUXILIAR GRANDE 06W QUAD 6500K";"SPOT LED";"06W 6500K";"";"";"";"SPOT LED › 06W 6500K";"SIM";"Iluminação";"69bd5d0a0d97b49ab900d6c5"
"BKI-Z0Q";"REGISTRO ESFERA ROSCÁVEL METAL 1/2";"1";"capital_preso";"147";"REGISTRO ESFERA ROSCÁVEL METAL 1/2";"";"";"";"";"REGISTRO ESFERA ROSCÁVEL METAL 1/2";"REGISTRO ESFERA";"1/2";"";"";"";"REGISTRO ESFERA › 1/2";"SIM";"Registro + medida";"69bd5ce83e4a8881901f4a08"
"2W2-8W1";"TORNEIRA P/LAVATORIO MESA PLASTICA BRANCA 1 DN15";"1";"capital_preso";"146.08";"TORNEIRA P/LAVATORIO MESA PLASTICA BRANCA 1 DN15";"";"";"";"";"TORNEIRA P/LAVATORIO MESA PLASTICA BRANCA 1 DN15";"TORNEIRA P/ LAVATÓRIO";"DN15";"";"";"";"TORNEIRA P/ LAVATÓRIO › DN15";"SIM";"Torneira por uso";"69bd64d1ac44405a3bebe9fe"
"YU6-OS4";"UNIAO ROSCAVEL 3/4";"1";"capital_preso";"143.52";"UNIAO ROSCAVEL 3/4";"";"";"";"";"UNIAO ROSCAVEL 3/4";"UNIAO ROSCAVEL 3/4";"3/4";"";"";"";"UNIAO ROSCAVEL 3/4 › 3/4";"SIM";"Nome curto + apresentação";"69bd64dd857bda26cada8cab"
"71I-W47";"TORNEIRA PARA LAVATORIO J4 DN15";"1";"capital_preso";"143.22";"TORNEIRA PARA LAVATORIO J4 DN15";"";"";"";"";"TORNEIRA PARA LAVATORIO J4 DN15";"TORNEIRA P/ LAVATÓRIO";"DN15";"";"";"";"TORNEIRA P/ LAVATÓRIO › DN15";"SIM";"Torneira por uso";"69bd64d1487a808fb2c6463e"
"JSJ-SA0";"PIA TRAMONTINA AÇO INOX 01CUBA 105X52";"1";"com_giro";"142.14";"PIA TRAMONTINA AÇO INOX 01CUBA 105X52";"";"";"";"";"PIA TRAMONTINA AÇO INOX 01CUBA 105X52";"PIA TRAMONTINA AÇO INOX 01CUBA";"105X52";"";"";"Tramontina";"PIA TRAMONTINA AÇO INOX 01CUBA › 105X52 › Tramontina";"SIM";"Nome curto + apresentação";"69bd5c04fe4419b0cda91d2e"
"RU6-NG6";"RESISTENCIA 3056E 127/5500 ELE ADVANCED/TOP";"1";"capital_preso";"138.04";"RESISTENCIA 3056E 127/5500 ELE ADVANCED/TOP";"";"";"";"";"RESISTENCIA 3056E 127/5500 ELE ADVANCED/TOP";"RESISTENCIA 3056E 127/5500 ELE ADVANCED/TOP";"127/5500";"";"";"";"RESISTENCIA 3056E 127/5500 ELE ADVANCED/TOP › 127/5500";"SIM";"Nome curto + apresentação";"69bd5cfbf705b0359ad17eac"
"ZKK-T28";"PIA BANHEIRO LOGASA C/COLUNA 47x42,5 BRANCO";"1";"com_giro";"137.4";"PIA BANHEIRO LOGASA C/COLUNA 47x42,5 BRANCO";"";"";"";"";"PIA BANHEIRO LOGASA C/COLUNA 47x42,5 BRANCO";"PIA BANHEIRO LOGASA C/COLUNA 47x42,5";"47X42";"";"";"";"PIA BANHEIRO LOGASA C/COLUNA 47x42,5 › 47X42";"SIM";"Nome curto + apresentação";"69bd5c04c0db240ca29ca5bf"
"17Y-N2V";"TUBO DESCARGA 40MM";"1";"capital_preso";"133.2";"TUBO DESCARGA 40MM";"";"";"";"";"TUBO DESCARGA 40MM";"TUBO ESGOTO";"40 MM";"";"";"";"TUBO ESGOTO › 40 MM";"SIM";"Conexão hidráulica";"69bd64d5de2b4ea01e86857e"
"50K-KDC";"RESISTENCIA 755-E P/ AQUECEDOR VERSATIL 127 V / 5500W";"1";"capital_preso";"132.37";"RESISTENCIA 755-E P/ AQUECEDOR VERSATIL 127 V / 5500W";"";"";"";"";"RESISTENCIA 755-E P/ AQUECEDOR VERSATIL 127 V / 5500W";"RESISTENCIA 755-E AQUECEDOR VERSATIL 127";"AVULSO";"";"";"";"RESISTENCIA 755-E AQUECEDOR VERSATIL 127 › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5cfc15e1f99d9bde71d0"
"BJY-X0P";"REGISTRO GAVETA LATAO 1/2"" (*)";"1";"capital_preso";"131.6";"REGISTRO GAVETA LATAO 1/2"" (*)";"";"";"";"";"REGISTRO GAVETA LATAO 1/2"" (*)";"REGISTRO";"1/2";"";"";"";"REGISTRO › 1/2";"SIM";"Registro + medida";"69bd5ce95c1d08409bc574c6"
"9OT-T6T";"PINCEL 4";"1";"com_giro";"127.3";"PINCEL 4";"";"";"";"";"PINCEL 4";"PINCEL 4";"AVULSO";"";"";"";"PINCEL 4 › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5c77321c8f3b73805a3b"
"Y5C-13A";"TAPA-FURO DE 20mm";"1";"capital_preso";"118.75";"TAPA-FURO DE 20mm";"";"";"";"";"TAPA-FURO DE 20mm";"TAPA-FURO 20mm";"20mm";"";"";"";"TAPA-FURO 20mm › 20mm";"SIM";"Nome curto + apresentação";"69bd5d0db92618cbebe688cf"
"THW-0LC";"TAPA-FURO DE 25mm";"1";"capital_preso";"118.75";"TAPA-FURO DE 25mm";"";"";"";"";"TAPA-FURO DE 25mm";"TAPA-FURO 25mm";"25mm";"";"";"";"TAPA-FURO 25mm › 25mm";"SIM";"Nome curto + apresentação";"69bd5d0dc386531ad5065da5"
"Z32-Y6P";"TE ESGOTO 100MM";"1";"com_giro";"114.66";"TE ESGOTO 100MM";"";"";"";"";"TE ESGOTO 100MM";"TE ESGOTO";"100 MM";"";"";"";"TE ESGOTO › 100 MM";"SIM";"Conexão hidráulica";"69bd5d0ef204de02835130dc"
"KG3-BSR";"TORNEIRA BICA MÓVEL MESA LAVATÓRIO SHB ABS 1/4 DE VOLTA DN15";"1";"capital_preso";"114.65";"TORNEIRA BICA MÓVEL MESA LAVATÓRIO SHB ABS 1/4 DE VOLTA DN15";"";"";"";"";"TORNEIRA BICA MÓVEL MESA LAVATÓRIO SHB ABS 1/4 DE VOLTA DN15";"TORNEIRA DE MESA";"DN15 BICA MÓVEL";"";"";"";"TORNEIRA DE MESA › DN15 BICA MÓVEL";"SIM";"Torneira por uso";"69bd64c93f69c167a9381fd4"
"13S-5TA";"TINTA ACABEMENTO CITYCOLOR (3,6 L) CIMENTO QUEIMADO";"1";"capital_preso";"114";"TINTA ACABEMENTO CITYCOLOR (3,6 L) CIMENTO QUEIMADO";"";"";"";"";"TINTA ACABEMENTO CITYCOLOR (3,6 L) CIMENTO QUEIMADO";"TINTA";"(3,6 L)";"";"";"Citycolor";"TINTA › (3,6 L) › Citycolor";"SIM";"Tinta/verniz: produto + volume";"69bd5d26dff79e5c9f06d3d5"
"N2T-S3T";"RESISTENCIA 065 3T LORENULTRA 127/4600";"1";"capital_preso";"107.01";"RESISTENCIA 065 3T LORENULTRA 127/4600";"";"";"";"";"RESISTENCIA 065 3T LORENULTRA 127/4600";"RESISTENCIA 065 3T LORENULTRA 127/4600";"127/4600";"";"";"";"RESISTENCIA 065 3T LORENULTRA 127/4600 › 127/4600";"SIM";"Nome curto + apresentação";"69bd5cfb0b98c3ae7b18aa02"
"LV0-IUR";"TORNEIRA BICA MOV P/ PIA COZ MESA ABS BRANCA 1 DN15";"1";"capital_preso";"104.44";"TORNEIRA BICA MOV P/ PIA COZ MESA ABS BRANCA 1 DN15";"";"";"";"";"TORNEIRA BICA MOV P/ PIA COZ MESA ABS BRANCA 1 DN15";"TORNEIRA DE MESA";"DN15";"";"";"";"TORNEIRA DE MESA › DN15";"SIM";"Torneira por uso";"69bd64c8d210e268e5e003fa"
"5CC-7CJ";"REGISTRO ESFERA PLASTICO 50MM SOLDAVEL - VEPS150";"1";"capital_preso";"103.28";"REGISTRO ESFERA PLASTICO 50MM SOLDAVEL - VEPS150";"";"";"";"";"REGISTRO ESFERA PLASTICO 50MM SOLDAVEL - VEPS150";"REGISTRO ESFERA";"50MM";"";"";"";"REGISTRO ESFERA › 50MM";"SIM";"Registro + medida";"69bd5ce7c23a742b10444129"
"V3Y-F18";"UNIAO ROSCAVEL 1/2";"1";"capital_preso";"99.84";"UNIAO ROSCAVEL 1/2";"";"";"";"";"UNIAO ROSCAVEL 1/2";"UNIAO ROSCAVEL 1/2";"1/2";"";"";"";"UNIAO ROSCAVEL 1/2 › 1/2";"SIM";"Nome curto + apresentação";"69bd64dd155990918b0a7c04"
